#id,Date,Title,cat,cat+,linked CI,Short Description / inclusion criteria,Form,Region/Organization,Link,Ukraine,Institution 
34,2018-10-10 00:00:00,Remarks by Commissioner Avramopoulos and Commissioner King at the press conference on the 16th Security Union Progress Report,1,. ,OPCW ,Awareness raising,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_6088,0,Commission
35,2018-10-16 00:00:00,Commissioner King's keynote speech in the opening plenary of the High-Level Conference on Election Interference in the Digital Age,1,.,,Call for more cybsecurity,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3973,0,Commission
36,2018-10-18 00:00:00,"European Council conclusions, 18 October 2018 ",3,.,OPCW,European Council also calls for measures to combat cyberattacks,,,https://www.consilium.europa.eu/en/press/press-releases/2018/10/18/20181018-european-council-conslusions/,0,Council
37,2018-10-24 00:00:00,Commissioner King's remarks at the European Parliament debate on the use of Facebook users' data by Cambridge Analytica and the impact on data protection,1,.,,Call for more cybersecurity,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_4002,0,Commission
38,2018-11-20 00:00:00,EU shapes its ambitious strategy on India,2,.,,Dialogue India,Cooperation,India,https://ec.europa.eu/commission/presscorner/detail/en/ip_18_6481,0,Commission
39,2018-12-03 00:00:00,Speech by Vice-President Ansip at the Cyber Security Conference in Vienna,3,1,,"Concerns about recent development, explicitly mentioning OPWC, awareness raising",,,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_4117,0,Commission
40,2019-01-22 00:00:00,Discours du Commissaire King au Forum international de la cybersécurité,1,.,OPCW ,Call for more cybersecurity,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_6890,0,Commission
41,2019-02-01 00:00:00,Technical Assistance for Achieving Harmony with EU Regarding the Implementation of the NIS Directive,2,.,,Technical assistance to Turkey ,Cooperation,Turkey,https://cybilportal.org/projects/technical-assistance-for-achieving-harmony-with-eu-regarding-the-implementation-of-the-nis-directive/,0,EU
42,2019-02-01 00:00:00,Organised Crime: West African Response on Cybersecurity and fight against Cybercrime ,1,.,,Capacity building project in cooperation with ECOWAS,Capacity building,West-Africa,https://www.ocwarc.eu/,0,EU
43,2019-02-05 00:00:00,Speech by Vice-President Ansip at the European Cyber Security Organisation Roundtable on Europe's Cyber Future,1,.,,Call to enhance cybersecurity,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_6909,0,Commission
44,2019-02-14 00:00:00,Commissioner King's keynote speech at the Munich Cyber Security Conference,1,.,,Listing cybersecurity measures e.g. NIS or CDT  to raise awareness,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_6935,0,Commission
45,2019-03-15 00:00:00,European Union Statement – United Nations Arria-formula meeting on the 5th Anniversary of the Russian Occupation of Crimea,2,.,,"The European Union delivered a statement at the United Nations Arria Formula Meeting. The EU shared its perspectives and concerns regarding the topic discussed during the meeting, emphasizing the importance of addressing cyber threats and promoting stability in the digital domain. It called for enhanced cooperation, dialogue, and the development of norms and frameworks to effectively respond to the challenges posed by cyber activities.",,,https://www.eeas.europa.eu/delegations/un-new-york/european-union-statement-–-united-nations-arria-formula-meeting-5th_en,0,EEAS
46,2019-04-09 00:00:00,EU-China Summit: Rebalancing the strategic partnership,2,.,,Dialogue China,Dialogue ,China,https://ec.europa.eu/commission/presscorner/detail/en/ip_19_2055,0,Commission
47,2019-04-12 00:00:00,Declaration by the High Representative on behalf of the EU on respect for the rules-based order in cyberspace ,2,,,"Declaration by the High Representative on behalf of the EU on respect for the rules-based order in cyberspace :The European Union and its Member States are concerned by the rise in malicious behaviour in cyberspace that aim at undermining the EU's integrity, security and economic competitiveness, including increasing acts of cyber-enabled theft of intellectual property. The misuse of Information and Communications Technologies (ICTs) could lead to destabilising and cascading effects with enhanced risks of conflict.",,,"https://www.consilium.europa.eu/en/press/press-releases/2019/04/12/declaration-by-the-high-representative-on-behalf-of-the-eu-on-respect-for-the-rules-based-order-in-cyberspace/#:~:text=15%3A00-,Declaration%20by%20the%20High%20Representative%20on%20behalf%20of%20the%20EU,and%20the%20rule%20of%20law.",0,Council
48,2019-05-16 00:00:00,Commissioner King's keynote speech at the Aspen Institute Berlin Cybersecurity Forum,3,1,,"Concerns about recent development, awareness raising",,,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_7102,0,Commission
49,2019-05-16 00:00:00,Commissioner King's remarks at the Aspen Institute dinner in Berlin: Security Cooperation: the power of likeminded nations working together,1,.,,Awareness raising,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_7106,0,Commission
50,2019-06-01 00:00:00,CyberEast – Action on Cybercrime for Cyber Resilience in the Eastern Partnership Region,1,.,,Eastern Partnership Region capacity building,Capacity building,Eastern Partnership,https://cybilportal.org/projects/cybereast-action-on-cybercrime-for-cyber-resilience-in-the-eastern-partnership-region/,0,Council
51,2019-06-09 00:00:00,"Press release - EU Member States G20 Digital Economy and Trade Ministerial, Tsukuba 8 June 2019",2,.,,"Dialogue G20 (comprising Argentina, Australia, Brazil, Canada, China, France, Germany, India, Indonesia, Italy, Japan, Republic of Korea, Mexico, Russia, Saudi Arabia, South Africa, Türkiye, the United Kingdom, the United States, and the European Union)",Dialogue ,G20,https://ec.europa.eu/commission/presscorner/detail/en/ip_19_7141,0,Commission
52,2019-06-17 00:00:00,Security and defence: Council adopts conclusions ,3,.,,"EU foreign and defence ministersdiscussed the EU Global Strategy. Following the discussion, the Council adopted conclusions on security and defence in the context of the EU Global Strategy.",,,https://www.consilium.europa.eu/en/press/press-releases/2019/06/17/security-and-defence-council-adopts-conclusions/,0,Council
53,2019-06-19 00:00:00,Joint EU-US statement following the EU-US Justice and Home Affairs Ministerial Meeting ,2,.,,"On 19 June 2019 the Romanian Presidency of the Council of the European Union hosted the EU-U.S. Ministerial Meeting on Justice and Home Affairs in Bucharest, Romania. The meeting provided an opportunity for both sides to take stock of their long-standing cooperation in this area and to reaffirm their partnership in addressing common security threats",,,https://www.consilium.europa.eu/en/press/press-releases/2019/06/19/joint-eu-u-s-statement-following-the-eu-u-s-justice-and-home-affairs-ministerial-meeting/,0,Council; Commission
54,2019-06-20 00:00:00,"European Council conclusions on the MFF, climate change, disinformation and hybrid threats, external relations, enlargement and the European Semester, 20 June 2019 ",3,.,,"European Council: ""The EU must ensure a coordinated response to hybrid and cyber threats and strengthen its cooperation with relevant international actors. The European Council welcomes the adoption of a new framework for targeted restrictive measures, and the work on coordinated attribution at EU level in the context of the cyber diplomacy toolbox, to better deter and respond to cyber-attacks. It invites the EU institutions, together with the Member States, to work on measures to enhance the resilience and improve the security culture of the EU against cyber and hybrid threats from outside the EU, and to better protect the EU's information and communication networks, and its decision-making processes, from malicious activities of all kinds.""",,,https://www.consilium.europa.eu/en/press/press-releases/2019/06/20/european-council-conclusions-20-june-2019/,0,Council
55,2019-07-09 00:00:00,Commissioner Cañete at the conference on cyber security in the energy sector,1,,,Underlining the importance of cybsecurity,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_3971,0,Commission
56,2019-09-09 00:00:00,EU Statement – United Nations Open-ended Working Group on Cyberspace: First Session,1,.,,"The European Union provided a statement at the United Nations Open-Ended Working Group on Cyberspace. The EU emphasized the need for an inclusive and multistakeholder approach to address challenges in the digital domain. It highlighted the importance of mutual trust, promoting responsible behaviour, and strengthening international cooperation to ensure a secure and resilient cyberspace",,,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-–-united-nations-open-ended-working-group-cyberspace-first_en,0,EEAS
57,2019-10-01 00:00:00,"Remarks of Commissioner Julian King at the Wilson Center, A state of un peace: the EU's response to asymmetric threats.",1,2,,"Awareness raising, preventive but also highlighting the dialogue / cooperation with US",,,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_7280,0,Commission
58,2019-10-10 00:00:00,EU Statement – United Nations 1st Committee: General Debate,1,.,,"The European Union delivered a statement during the United Nations 1st Committee General Debate. The EU expressed its views and positions on a wide range of issues related to disarmament, arms control, and international security. It also stressed the importance of addressing emerging challenges in cyberspace, including the prevention of cyber threats, responsible state behavior, and the promotion of norms and confidence-building measures.",,,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-–-united-nations-1st-committee-general-debate_en,0,EEAS
59,2019-10-25 00:00:00,EU Statement – United Nations 1st Committee: Thematic Discussion on Other Disarmament Measures and International Security,1,.,,"The European Union delivered a statement during a thematic discussion in the United Nations 1st Committee. The EU shared its perspectives, priorities, and recommendations on the topic under discussion, including issues related to international security, disarmament, and cyberspace. It highlighted the need for global cooperation, dialogue, and effective mechanisms to address emerging challenges and promote once againpeace and stability.",,,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-–-united-nations-1st-committee-thematic-discussion-other-0_en,0,EEAS
60,2019-10-30 00:00:00,"20th Security Union Progress Report remarks at the press conference, 30 October 2019",1,.,,Awareness raising; mentioning of CDT,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_7344,0,Commission
61,2019-11-01 00:00:00,EU4Digital: Improving cyber resilience in Eastern Partnership (EaP) countries,1,.,,Eastern Partnership Region capacity building,Capacity building,Eastern Partnership,https://cybilportal.org/projects/eu4digital-improving-cyber-resilience-in-eastern-partnership-eap-countries/,0,EU
62,2019-11-07 00:00:00,EU Explanation of Vote – United Nations 1st Committee: information and telecommunications in the context of international security,1,.,OPCW ,The European Union explains its vote in the United Nations 1st Committee regarding information and communication technologies (ICTs) and international security:,,,https://www.eeas.europa.eu/delegations/un-new-york/eu-explanation-vote-–-united-nations-1st-committee-information-and_en,0,EEAS
63,2019-11-28 00:00:00,The EU-Egypt Stability and Social Development 7th Cluster Meeting,1,.,,"The EU and Egypt hold the 7th cluster meeting on stability and social development, emphasizing the importance of cooperation in addressing common challenges and promoting (sustainable) development in Egypt.",Dialogue ,Egypt,https://www.eeas.europa.eu/delegations/egypt/eu-egypt-stability-and-social-development-7th-cluster-meeting_en,0,EEAS
64,2020-01-01 00:00:00,iPROCEEDS-2,1,.,,Capacity building in Turkey and the Wester Balkans,Capacity building,"Western Balkans, Turkey",https://cybilportal.org/projects/iproceeds-2/,0,Council
65,2020-02-13 00:00:00,Keynote Speech by Vice-President Maroš Šefčovič at the Munich European Conference during the European Dinner,2,,,Strenghtening cooperation with NATO ,Cooperation,NATO,https://ec.europa.eu/commission/presscorner/detail/en/speech_20_247,0,Commission
66,2020-02-21 00:00:00,Declaration by the High Representative on behalf of the European Union - call to promote and conduct responsible behaviour in cyberspace,3,2,Georgia cyber-attack,"The High Representative of the European Union issued a declaration calling for the promotion and conduct of responsible behavior in cyberspace. The declaration emphasized the EU's commitment to fostering trust, security, and stability in the digital domain. It highlighted the need for international cooperation, capacity-building, and the protection of human rights to address the evolving challenges and opportunities in cyberspace.",Declaration HR,,https://www.eeas.europa.eu/delegations/georgia/declaration-high-representative-behalf-european-union-call-promote-and-conduct_en,0,EEAS; Council
67,2020-02-26 00:00:00,EU Statement on the cyber-attack against Georgia,3,.,Georgia cyber-attack,"The European Union issued a statement condemning the cyber attack against Georgia. The EU expressed full solidarity with Georgia and highlighted the need for international cooperation to prevent and respond to cyber incidents. It emphasized the importance of respecting the principles of sovereignty, territorial integrity, and the rule of law in cyberspace, as well as the promotion of responsible state behavior and the protection of critical infrastructure.",,,https://www.eeas.europa.eu/delegations/council-europe/eu-statement-cyber-attack-against-georgia_en,0,EEAS
68,2020-03-18 00:00:00,Eastern Partnership,2,1,," Commission proposes new policy objectives with Armenia, Azerbaijan, Belarus, Georgia, the Republic of Moldova and Ukraine for beyond 2020",Cooperation,"Armenia, Azerbaijan, Belarus, Georgia, the Republic of Moldova and Ukraine",https://ec.europa.eu/commission/presscorner/detail/en/ip_20_452,0,Commission
69,2020-04-01 00:00:00,"Enhancing Security Cooperation in and with Asia (ESIWA), - support deeper and more operational security dialogues with partner countries (India, Indonesia, Japan, Republic of Korea, Singapore and Vietnam);
- promote greater convergence between the policies and practices of the EU and these partner countries in the field of security;
- and contribute to increasing international awareness and acknowledgment of the EU as a security provider.",2,.,,Asia-Pacific Region,Cooperation,Asia-Pacific region,https://www.eucybernet.eu/ccb-table/,0,Council
70,2020-04-30 00:00:00,"Declaration by the High Representative Josep Borrell, on behalf of the European Union, on malicious cyber activities exploiting the coronavirus pandemic",3,.,,HR Declaration after cyber incidents during the corona pandemic,Declaration HR,,https://www.consilium.europa.eu/en/press/press-releases/2020/04/30/declaration-by-the-high-representative-josep-borrell-on-behalf-of-the-european-union-on-malicious-cyber-activities-exploiting-the-coronavirus-pandemic/,0,Council
71,2020-05-22 00:00:00,"EU Statement – United Nations Security Council Arria-formula meeting on Cyber Stability, Conflict Prevention and Capacity Building",1,.,,"The European Union delivered a statement at the United Nations Security Council Arria Formula Meeting on Cybersecurity (Cyber Stability, Conflict Prevention and Capacity Building). The EU underlined the importance of addressing cybersecurity challenges and their impact on peace and security. It emphasized the need for a comprehensive approach that includes prevention, capacity-building, and international cooperation to effectively respond to cyber threats and promote stability in the digital realm.",,,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-–-united-nations-security-council-arria-formula-meeting-cyber_en,0,EEAS
72,2020-06-11 00:00:00,EU General Statement – United Nations General Assembly: High Level Thematic Debate on the Impact of Rapid Technological Change on the SDGs,2,.,,"The EU delivers a general statement at the United Nations General Assembly, emphasizing the importance of multilateralism, sustainable development, and addressing global challenges through international cooperation.",,,https://www.eeas.europa.eu/delegations/un-new-york/eu-general-statement-–-united-nations-general-assembly-high-level-thematic_en,0,EEAS
73,2020-06-17 00:00:00,EU Statement – United Nations: Virtual informal meeting of the Open-ended Working Group on ICTs,1,.,,"The European Union provided a statement at the United Nations Virtual Informal Meeting of the Open-Ended Working Group. The EU shared its  positions on the topics discussed during the meeting, emphasizing the significance of international cooperation, the protection of human rights, and the establishment of norms and standards in cyberspace. It called for an inclusive and collaborative approach to address global challenges in the digital domain.",,,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-–-united-nations-virtual-informal-meeting-open-ended-working_en,0,EEAS
74,2020-06-30 00:00:00,Joint press release: Republic of Korea - EU Leaders' video conference meeting,2,.,,Dialogue South Korea,Dialogue,South-Korea,https://ec.europa.eu/commission/presscorner/detail/en/ip_20_1226,0,Commission
75,2020-07-30 00:00:00,Declaration by the High Representative Josep Borrell on behalf of the EU: European Union response to promote international security and stability in cyberspace ,3,.,"Sanctions against individuals and bodies linked to cyber incidents Wanna Cry, NotPetya, Operation CloudHopper",HR Declaration linked to the first time use of sanction in the framework of the Cyber Diplomacy Toolbox,Declaration HR,,https://www.consilium.europa.eu/en/press/press-releases/2020/07/30/declaration-by-the-high-representative-josep-borrell-on-behalf-of-the-eu-european-union-response-to-promote-international-security-and-stability-in-cyberspace/,0,Council
76,2020-07-30 00:00:00,EU imposes the first ever sanctions against cyber-attacks ,4,.,"Wanna Cry, NotPetya, Operation CloudHopper, Cyberattack against OPCW ","Six indivduals (two chinese, four russian) and three entities (chinese Tianjin Huaying Haitai Science and Technology Development Co. Ltd (Huaying Haitai, Russian  Main Centre for Special Technologies (GTsST) of the Main Directorate of the General Staff of the Armed Forces of the Russian Federation (GU/GRU),  Korean Chosun Expo) sanctioned for cyberattacks  WannaCry, NotPetya, Operation CloudHopper and the cyberattack against OPCW",,,https://www.consilium.europa.eu/en/press/press-releases/2020/07/30/eu-imposes-the-first-ever-sanctions-against-cyber-attacks/,0,Council 
77,2020-07-30 00:00:00,"Speech by Commissioner Mariya Gabriel at the International Conference on Cyber, Digital and Tech",1,,,"Awareness raising, talking about increasing cyber threats ",,,https://ec.europa.eu/commission/presscorner/detail/en/speech_20_2842,0,Commission
78,2020-08-26 00:00:00,EU Statement – United Nations Security Council: Arria-formula meeting on Cyber-attacks against critical infrastructure,1,.,,"The European Union delivered a statement at the United Nations Security Council Arria Formula Meeting. The EU expressed its views and perspectives on the topic under discussion, emphasizing the importance of addressing the specific issue from a multidimensional approach. It highlighted the need for international cooperation, dialogue, and the rule of law to effectively tackle challenges, including those related to cybersecurity and regional stability.",,,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-–-united-nations-security-council-arria-formula-meeting-7_en,0,EEAS
79,2020-09-10 00:00:00,EU-China: Commission and China hold first High-level Digital Dialogue,2,1,,Dialogue China,Dialogue ,China,https://ec.europa.eu/commission/presscorner/detail/en/ip_20_1600,0,Commission
80,2020-10-01 00:00:00,EU4DigitalUA,1,.,,Support for Ukraine,,,https://eu4ukraine.eu/,0,EU
81,2020-10-06 00:00:00,"Joint statement following the 22nd EU-Ukraine Summit, 6 October 2020",2,.,,"A joint statement was issued following the 22nd EU-Ukraine Summit. The statement reflected the outcomes of the summit, focusing on the discussions and agreements reached between the European Union and Ukraine. It highlighted areas of cooperation, common goals, and shared commitments, including those related to cybersecurity, economic development, and strengthening bilateral (trade) relations.",,,https://www.eeas.europa.eu/delegations/ukraine/joint-statement-following-22nd-eu-ukraine-summit-6-october-2020_en,0,"EEAS, Commission"
82,2020-10-09 00:00:00,EU Statement – United Nations 1st Committee: General Statement,2,1,,"The European Union delivered a general statement at the United Nations 1st Committee. The EU reaffirmed its commitment to disarmament, arms control, and non-proliferation efforts. It emphasized the importance of comprehensive approaches to address emerging security challenges, including cyber threats, and highlighted the need for international cooperation, dialogue, and the promotion of responsible behavior in cyberspace.",,,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-–-united-nations-1st-committee-general-statement_en,0,EEAS
83,2020-10-22 00:00:00,Malicious cyber-attacks: EU sanctions two individuals and one body over 2015 Bundestag hack ,4,.,Bundestag Hack,Two Russian individuals and one body sanctioned because of their involvement in the Bundestag hack in 2015,,,https://www.consilium.europa.eu/en/press/press-releases/2020/10/22/malicious-cyber-attacks-eu-sanctions-two-individuals-and-one-body-over-2015-bundestag-hack/,0,Council 
84,2020-10-28 00:00:00,EU Explanation of Vote – United Nations 1st Committee: Resolution on Developments in the field of information and telecommunications in the context of international security,1,.,,"The European Union provided an explanation of its vote on a resolution in the United Nations 1st Committee. The EU expressed its position on the developments and outcomes of the resolution. It outlined its concerns, perspectives, and reasons behind its voting decision.",,,https://www.eeas.europa.eu/delegations/un-new-york/eu-explanation-vote-–-united-nations-1st-committee-resolution-developments_en,0,EEAS
